Date,Location,Level,Type,Title/Description ,Comments,Travel restrictions,State of Emergency,School Closure ,Work Closure,Business closing,Gatherings,COVID/Antibody Testing,Safer at Home,Reopening,Relief/Funding/Grant,Masks,Other,Economics
4/24/2020,Indiana,State,Signed ,Executive Order ,To speed up the review of unemployment insurance claim appeals during the fight against COVID-19.,,,,,,,,,,,,,
4/25/2020,Indiana,State,Announcement,Indiana Economic Development Corporation (IEDC) has secured commitments for more than 6.3 million pieces of personal protective equipment (PPE).,"Of these, more than 2.9 million items, including face masks, face shields, gloves, gowns, goggles and bottles of hand sanitizer, are being made and sourced by 18 Indiana manufacturers.",,,,,,,,,,,,,
4/27/2020,Indiana,State,Announcement,"the Family and Social Services Administration has launched a new website, BeWellIndiana.org,","will provide free mental health resources that have been vetted by experts. The site is designed to help with the increase in anxiety, depression and other mental health issues caused by the pandemic, including both first-time issues as well as pre-existing mental health concerns.",,,,,,,,,,,,,
4/27/2020,Indiana,State,Announcement,twelve safe recovery sites have been established,to help people who are recovering from COVID-19 and also experiencing homelessness.,,,,,,,,,,,,,
4/27/2020,Indiana,State,Announcement,Supplemental Nutrition Assistance Program (SNAP):,"400,000 Indiana children will receive additional benefits on their existing SNAP cards as part of SNAP-Pandemic EBT benefits, or will receive cards for the first time.",,,,,,,,,,,,,
4/27/2020,Indiana,State,Announcement,Supplemental Nutrition Assistance Program (SNAP):,"In mid-May, grocery delivery will be available for those receiving SNAP benefits.",,,,,,,,,,,,,
4/27/2020,Indiana,State,Announcement,Essential workers seeking childcare options should contact Bright Futures Indiana.,,,,,,,,,,,,,,
4/28/2020,Indiana,State,Announcement,OptumServe Health Services would be opening sites across Indiana in the next seven days,To begin large-scale testing.,,,,,,,,,,,,,
4/28/2020,Indiana,State,Announcement,"3,700 people have signed up for a study conducted by the state and Indiana University public health researchers.","The study will test 5,000 to 7,000 randomly chosen people in four phases over the next year.",,,,,,,,,,,,,
4/28/2020,Indiana,State,Announcement,A strike team tested all employees at a Tyson plant in Cass County,where there was an outbreak of the coronavirus.,,,,,,,,,,,,,
4/29/2020,Indiana,State,Announcement,the state is partnering with Maximus to centralize contact tracing and investigations for Indianans who test positive for COVID-19.,,,,,,,,,,,,,,
4/29/2020,Indiana,State,Announcement,Kroger will launch free drive-thru testing in Fort Wayne on Thursday and plans to open a site in Marion County.,,,,,,,,,,,,,,
4/29/2020,Indiana,State,Announcement,the state has acquired a critical care decontamination system that will allow health care providers to conserve N95 masks,by sending them off to be professionally decontaminated. The masks can be decontaminated up to 20 times.,,,,,,,,,,,,,
4/29/2020,Indiana,State,Announcement,The Health Commissioner announced that a centralized contact tracing system will begin May 11.,"All positive patients and close contacts will be asked to contact a call center. The center will complete initial phone interviews. If a person does not contact the center, the center will contact them. The center will also send daily texts or emails to monitor a person’s symptoms.",,,,,,,,,,,,,
4/30/2020,Indiana,State,Announcement,A person who is out of work due to COVID-19 must return to work if called back to remain eligible for benefits.,"Not returning could be considered a “refusal to work” and potentially disqualify claimants. If the person returns to work but works a reduced number of hours, they can still file for partial benefits. Further, the commissioner clarified that the workforce department does not regulate workplaces, but that it will evaluate on a case by case basis every claim that comes in. If a person claims the employer’s place is unfit, the department will consider that as part of a refusal to work determination.",,,,,,,,,,,,,
5/1/2020,Indiana,State,Announcement,The number of hospitalized COVID-19 patients statewide has decreased for 14 days.,,,,,,,,,,,,,,
5/1/2020,Indiana,State,Announcement,The state retains its surge capacity for critical care beds and ventilators.,,,,,,,,,,,,,,
5/1/2020,Indiana,State,Announcement,"The state retains its ability to test all individuals who are COVID-19 symptomatic as well as health care workers, first responders, and frontline employees. ",,,,,,,,,,,,,,
5/1/2020,Indiana,State,Announcement,Health officials have systems in place to contact all individuals who test positive for COVID-19 and expand contact tracing.,,,,,,,,,,,,,,
5/4/2020,Indiana,State,Announcement,The Indiana Retired Teachers Association set up a hotline to assist students and parents each weekday from 1-5 p.m.,,,,,,,,,,,,,,
5/4/2020,Indiana,State,Announcement,Indiana is working closely with counties in Kentucky regarding the state’s reopening procedures.,,,,,,,,,,,,,,
5/8/2020,Indiana,State,Announcement,"the state has received an initial shipment of Remdesivir, shipped to a state hotspot.",Remdesivir is an antiviral medication that has received clearance from the Food and Drug Administration to be used with COVID-19 patients.,,,,,,,,,,,,,
5/8/2020,Indiana,State,Announcement,The Office of Management and Budget stated that Indiana missed its revenue projections by 6 percent ($70 million). ,Which offset the revenues from the previous eight months.,,,,,,,,,,,,,
5/8/2020,Indiana,State,Announcement,"Indiana has made $119 million in payments to 57,000 claimants through the state’s Pandemic Unemployment Assistance program",,,,,,,,,,,,,,
5/8/2020,Indiana,State,Signed,Executive Order ,Encourages the hiring of poll workers by prohibiting the that the stipend poll workers receive from qualifying as deductible income for those receiving unemployment benefits,,,,,,,,,,,,,
5/8/2020,Indiana,State,Signed,Executive Order ,The extension of Waiver of Late Fees and Penalties by the Bureau of Motor Vehicles,,,,,,,,,,,,,
5/8/2020,Indiana,State,Signed,Executive Order ,The extension of certain tax deadlines,,,,,,,,,,,,,
5/11/2020,Indiana,State,Announcement,"The Governor's daily press briefings on COVID-19 would be now occurring Monday, Wednesday, and Fridays. ","Additionally, his team announced that contact tracing is now occurring on a larger scale in the state.",,,,,,,,,,,,,
5/11/2020,Indiana,State,Announcement,"There have been over 1,400 compliance complaints submitted about businesses across the state.","A total of 138 verbal warnings have been issued to businesses, and most businesses have complied after verbal warning. Only one cease and desist order has had to be issued in the state.",,,,,,,,,,,,,
5/13/2020,Indiana,State,Announcement,The Indiana State Health Department Commissioner announced that 2.3 million pieces of PPE are being delivered to hospitals.,Local health departments are receiving 1.3 million pieces of PPE.,,,,,,,,,,,,,
5/13/2020,Indiana,State,Announcement,The Governor announced that they had received two shipments of Remdesivir.,One shipment was delivered to a hotspot in northern Indiana. The second was sent to the state health department. Indiana will start receiving weekly shipments of the antiviral drug.,,,,,,,,,,,,,
5/13/2020,Indiana,State,Announcement,The Centers for Medicare and Medicaid Services (CMS) approved Indiana’s second request for a Medicaid 1135 waiver.,The waiver allows Indiana to reimburse for Home and Community-Based Services (HCBS) in additional settings,,,,,,,,,,,,,
5/15/2020,Indiana,State,Announcement,Indiana has procured commitments for more than 16 million pieces of PPE.,"More than 12 million pieces have already been delivered and 20,000 orders have been received through the PPE Marketplace. 10,000 orders have been shipped, and 12,000 orders are anticipated to go out next week.",,,,,,,,,,,,,
5/15/2020,Indiana,State,Announcement,The Secretary of State office announced it will supply all Indiana county election offices with PPE.,The Indiana National Guard will handle distribution.,,,,,,,,,,,,,
5/15/2020,Indiana,State,Announcement,The Indiana Department of Workforce Development Commissioner said Indiana has paid out more than $1.4 million in unemployment insurance payments since March.,,,,,,,,,,,,,,
5/18/2020,Indiana,State,Announcement,The Governor and the Indiana Family and Social Services Administration announced the state will fund a nearly $1 million distribution of the opioid reversal agent naloxone.,,,,,,,,,,,,,,
5/20/2020,Indiana,State,Announcement,Indiana will begin stage 3 of its “Back on Track” plan two days ahead of schedule.,"Stage 3 was originally slated to begin the day before Memorial Day. The following activities may open: community pools, gyms, playgrounds, campgrounds and basketball courts (and similar facilities). Mall common areas and movie theaters will be able to open at 50% capacity, and retail stores can up capacity to 75%.",,,,,,,,,,,,,
5/21/2020,Indiana,State,Signed,Executive Order ,Moving the state into Phase 3 of reopening.,,,,,,,,,,,,,
5/22/2020,Indiana,State,Announcement,The Indiana Department of Homeland Security stated the agency’s is continuing its code enforcement arm,Visits businesses every day to monitor safety codes and occupancy rates.,,,,,,,,,,,,,
5/22/2020,Indiana,State,Announcement,"Over 20,000 bundles of personal protective equipment have been shipped to businesses. ","The Indiana Economic Development Corporation stated that over 20,000 bundles of personal protective equipment have been shipped to businesses through the IEDC’s marketplace. Another 15,000 are set to go out.
",,,,,,,,,,,,,
5/27/2020,Indiana,State,Announcement,The second phase of the IU School of Health Fairbanks research study will begin the following week. ,"The study found that the current statewide population prevalence rate is 2.8%, and 44.8% of those who tested positive were asymptomatic.",,,,,,,,,,,,,
5/27/2020,Indiana,State,Announcement,26% of all Medicaid mental health services from March-April of this year were provided through telehealth. ,"The Family and Social Services Administration Secretary said 26% of all Medicaid mental health services from March-April of this year were provided through telehealth, as compared to 6% from March-April of last year.",,,,,,,,,,,,,
5/27/2020,Indiana,State,Announcement,$5 billion has been awarded to Indiana from the federal government.,The Director of the Office of Budget & Management said $5 billion has been awarded to Indiana from the federal government. About $2.4 billion is for coronavirus relief. ,,,,,,,,,,,,,
5/28/2020,Indiana,State,Announcement,The Governor is working to finalize details on what the fall semester will look like for K-12 students. ,The Governor announced that he is currently working with local schools and the Indiana Department of Education (IDOE) to finalize details on what the fall semester will look like for K-12 students and that schools will likely reopen in the fall.,,,,,,,,,,,,,
5/29/2020,Indiana,State,Announcement,Several new economic recovery initiatives designed to bolster critical relief efforts while encouraging long-term planning and investments to stimulate Indiana’s economy well into the future.,"Through these initiatives, the state will allocate nearly $44 million to provide support and resources including approximately $37 million in direct funding through grants and investments to small businesses and manufacturers.",,,,,,,,,,,,,
6/1/2020,Indiana,State,Signed,Executive Order 20-29,To lift restrictions on local declarations of emergency that had been instituted as a part of the stay at home and back on track orders pertaining to COVID-19. This order allows local governments to place more stringent travel restrictions than the state has in place.,,,,,,,,,,,,,
6/3/2020,Indiana,State,Announcement,The second phase of the Fairbanks study has started.,,,,,,,,,,,,,,
6/3/2020,Indiana,State,Announcement,The Indiana State Department of Health announced PPE supply chains for hospitals and suppliers have opened up. ,Has allowed Indiana to build its own inventory in case of a second wave of the virus in the fall.,,,,,,,,,,,,,
6/3/2020,Indiana,State,Announcement,Indiana received $17 million in additional funding through the CARES Act for the Low Income Home Energy Assistance Program.,,,,,,,,,,,,,,
6/5/2020,Indiana,State,Announcement,50 million in federal funding is being provided through the CARES Act to help Indianans get jobs.,"The funding will provide free access to online courses and training and will also create an online network that can connect people with career coaches. The Employer Training Grant will also be expanded, with a portion of funds dedicated to supporting minority, women and veteran-owned businesses.",,,,,,,,,,,,,
6/10/2020,Indiana,State,Announcement,"The state to enter Stage 4 of reopening, which is set to begin June 14.",Officials are still discussing whether to extend the moratorium on evictions.,,,,,,,,,,,,,
6/10/2020,Indiana,State,Announcement,Launching a lab testing network to increase daily testing capacity.,"The Indiana Department of Health announced that the state has partnered with Eli Lilly and the Indiana Hospital Association. The network will include 10 labs across the state. The network will leverage the state’s “buying power” to better compete for testing supplies.
",,,,,,,,,,,,,
6/15/2020,Indiana,State,Announcement,OptumServe testing sites will be open to anyone regardless of whether they are high-risk or symptomatic.,Announced by the Indiana State Department of Health. ,,,,,,,,,,,,,
6/15/2020,Indiana,State,Announcement,The State Office of Management and Budget predicted that the state would be $2 billion behind its revenue forecast due to COVID-19 impacts.,,,,,,,,,,,,,,
6/15/2020,Indiana,State,Announcement,The state COVID-19 briefings will be reduced only once per week.,,,,,,,,,,,,,,
6/17/2020,Indiana,State,Announcement,A 183 million increase in K-12 spending and Indiana school corporations will get an additional $192 million out of the federal CARES Act.,$61 million from the governor’s emergency fund will help with eLearning. ,,,,,,,,,,,,,
6/22/2020,Indiana,State,Announcement,"Indiana PK-12 schools and higher education institutions can now apply for a needs-based, competitive $61.6 million grant program. ",Providing funding to improve remote learning.,,,,,,,,,,,,,
6/24/2020,Indiana,State,Announcement,A new rental assistance program will provide up to $500 a month per household for those who are unable to pay rent due to a COVID-19 related job loss.,"Announced by the Indiana Housing and Community Development Authority Executive Director. Households can qualify for up to four months of assistance, or $2,000. An estimated 12,000 household renters will be served.
",,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,"Social gatherings following the CDC’s social distancing guidelines will be limited to up to 250 people. This limit applies to wedding receptions, parties, and other events where people are in close physical contact for extended periods of time, particularly indoors.",,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,Dining room food service may continue operations at up to 75 percent capacity as long as social distancing is observed. Bar seating in restaurants may continue operations at 50 percent capacity. Bars and nightclubs may continue operations open at 50 percent capacity as long as they adhere to social distancing guidelines.,,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,"Cultural, entertainment, and tourism sites may continue operations open at 50 percent capacity.",,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,"Movie theaters, bowling alleys, and similar facilities may continue operations open at 50 percent capacity.",,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,"Amusement parks, water parks and similar facilities may continue operations open at 50 percent capacity. Reservations are encouraged to limit the number of customers at any one time.",,,,,,,,,,,,,
7/1/2020,Indiana,State,Announcement,The state will modify the Back On Track Indiana plan through at least July 17.,Raceways may continue operations open at 50 percent grandstand capacity. ,,,,,,,,,,,,,
3/10/2020,Iowa,State,Ordered,Cruise ship quarantined,,,,,,,,,,,,,,
3/15/2020,Iowa,State,Announcement,School closures.,Iowa schools close for four weeks.,,,,,,,,,,,,,
3/16/2020,Iowa,State,Announcement,Work assistance.,Various forms of assistance to workers and employers in the face of potential COVID-19 layoffs or furloughs.,,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Medicaid appropriations,Supplemental appropriations for Medicaid ($88.98 million).,,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Health program appropriations,Supplemental appropriations other health programs ($1.8 million).,,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Hygienic Lab approriations,"Supplemental appropriations for state hygienic lab ($525,000).",,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Limits standing appropriations,"Limits some standing appropriations (non-public school transportation, instructional support, AEA funding).",,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Review FY 2020 aprropriations,Requires the Department of Management and the Legislative Service Agency to review FY 2020 appropriations and to make appropriations for the first two months of FY 2021.,,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Economic Emergency Fund appropriations.,"Emergency appropriations from the Economic Emergency Fund of up to 10% to the DOM for purposes approved by the Governor, through August 31.",,,,,,,,,,,,,
3/17/2020,Iowa,State,Signed,Waive school instruction.,Authorizes the Governor to waive school instructional time requirements for schools that close due to COVID-19.,,,,,,,,,,,,,
3/17/2020,Iowa,State,Issued,Restaurant and bar closure.,"State of public health disaster emergency closes all restaurants and bars to the public until March 31, excluding take-out and drive thru options.",,,,,,,,,,,,,
3/18/2020,Iowa,State,Signed,Physician assistant role expansion.,Expands the roles of physician assistants in Iowa,,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,Temporarily suspends penalties and interest related to collection of property taxes until the end of this proclamation.,,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,Temporarily suspends some evictions under the Iowa Uniform Residential Landlord and Tenant Act or the Manufactured Home Communities or Mobile Home Parks Residential Landlord and Tenant Act in certain circumstances.,,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,Extends expiration deadline for a permit to carry and a permit to acquire a firearm and additional measures.,,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,"Permits the sale of carry-out, delivery, drive-thru alcohol for unopened bottles of alcohol for bars and restaurants and suspends some fees.",,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,Permits public meetings or hearings by electronic means to improve the functions of government while maintaining social distancing practices.,,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,"Suspends certain regulations to ease the transportation of agricultural supplies and commodities, food, medical supplies, cleaning products, and other household goods on all highways in Iowa.",,,,,,,,,,,,,
3/20/2020,Iowa ,State,Signed,Additional state public health emergency declaration provisions ,The proclamation also allows related state agencies to implement the state’s public health emergency plan.,,,,,,,,,,,,,
3/21/2020,Iowa,State,Announcement,U.S. Small Business Administration will issue an Economic Injury Disaster Loan declaration for Iowa.,,,,,,,,,,,,,,
3/22/2020,Iowa,State,Signed,New proclamation continuing the State Public Health Emergency Declaration. ,"The closure of salons, medical spas, barbershops, tattoo establishments, tanning facilities, massage therapy establishments, and swimming pools until March 31.",,,,,,,,,,,,,
3/22/2020,Iowa,State,Signed,New proclamation continuing the State Public Health Emergency Declaration. ,"Suspends all foreclosures on residential, commercial, and agricultural real property.",,,,,,,,,,,,,
3/22/2020,Iowa,State,Signed,New proclamation continuing the State Public Health Emergency Declaration. ,Professional licensing relief.,,,,,,,,,,,,,
3/23/2020,Iowa,State,Announcement,First quarter unemployment tax payments delayed. ,"first quarter unemployment tax payments that are due April 30th will be delayed till the end of the 2nd quarter, July 31, 2020. Eligible employers include those employers with 50 or fewer employees.",,,,,,,,,,,,,
3/25/2020,Iowa,State,Announcement,President Trump approved request for a Presidential Major Disaster Declaration for COVID-19. ,"notification that President Trump has approved her request for a Presidential Major Disaster Declaration for COVID-19, removing a $5 million cap on federal funds as well as making available the Community Disaster Loan program.",,,,,,,,,,,,,
3/25/2020,Iowa,State,Announcement,The Centers for Medicare & Medicaid Services (CMS) approve Iowa's request for Section 1135 Medicaid waiver.  ,The Centers for Medicare & Medicaid Services (CMS) approved Iowa’s request for a Section 1135 Medicaid waiver. The approved waiver enables Iowa to forgo certain pre-admission screening and annual resident review assessments in its Medicaid program.,,,,,,,,,,,,,
3/26/2020,Iowa,State,Issued,The Economic Development Authority created a COVID-19 Targeted Small Business Sole Operator Fund,"To support small businesses with zero employees – designed to help women, individuals with minority status, service-connected disabled veterans and individuals with disabilities overcome hurdles to start or grow a small business.",,,,,,,,,,,,,
3/26/2020,Iowa,State,Signed,New proclamation continuing the State Public Health Emergency Declaration,"Suspending elective and nonessential medical and dental procedures, extending and expanding retail business closures, ordering health care facilities and nursing homes to engage in advanced health care screenings.",,,,,,,,,,,,,
3/31/2020,Iowa,State,Signed,New proclamation continuing the state public health emergency declaration.,,,,,,,,,,,,,,
4/2/2020,Iowa,State,Signed,New proclamation continuing the State Public Health Emergency Declaration,"The proclamation orders the closure of schools, waiving time requirements as long as school districts put in place a continuous learning plan until April 30th.",,,,,,,,,,,,,
4/4/2020,Iowa,State,Announcement,$44 million has been obligated to the State of Iowa for reimbursement of expenses related to the COVID-19 response.,,,,,,,,,,,,,,
4/6/2020,Iowa,State,Signed,"New proclamation continuing the State Public Health Emergency Declaration, ordering additional closures and relaxing additional regulations.",,,,,,,,,,,,,,
4/8/2020,Iowa,State,Announcement,the state is expanding a grant program for small businesses,after receiving thousands of applications requesting assistance,,,,,,,,,,,,,
4/16/2020,Iowa,State,Signed,continuing theState Public Health Emergency Declaration and requiring additional protective measures in Region 6 (Northeastern Iowa).,"Limiting social, community, recreational, leisure, and sporting gatherings in Region 6 to only people who live together in the same household",,,,,,,,,,,,,
4/16/2020,Iowa,State,Signed,continuing theState Public Health Emergency Declaration and requiring additional protective measures in Region 6 (Northeastern Iowa).,"Continuing to limit weddings, funerals, and other spiritual or religious gatherings to no more than 10 people",,,,,,,,,,,,,
4/16/2020,Iowa,State,Announcement,The Governor has released an updated dashboard on coronavirus.iowa.gov that will be updated daily to include comprehensive tracking of COVID-19 in Iowa.,"The new dashboard includes cases, deaths, and tests conducted in each county. The state will also be providing demographic information that was not previously provided as well as Iowa’s epidemiological curve.",,,,,,,,,,,,,
4/17/2020,Iowa,State,Announcement,Plans to reopen Iowa through a “phased-in manner” following the guidelines issued by the president.,,,,,,,,,,,,,,
4/19/2020,Iowa,State,Announcement,All school districts and nonpublic schools will be closed for the remainder of the school year.,,,,,,,,,,,,,,
4/20/2020,Iowa,State,Announcement,Iowa meatpacking plants will stay open.,,,,,,,,,,,,,,
4/21/2020,Iowa,State,Announcement,Test Iowa Initiative to expand testing capacity to limit the spread of COVID-19 in Iowa.,"The state is partnering with Nomi Health and DOMO, which are part of a partnership that launched a similar initiative in the state of Utah.",,,,,,,,,,,,,
4/24/2020,Iowa,State,Signed,A new proclamation continuing the State Public Health Emergency Declaration.,"The proclamation permits health care providers to begin the process of resuming some elective surgeries and procedures through a phased approach, permits farmers markets to begin limited operations with appropriate public health precautions, and outlines other measures.",,,,,,,,,,,,,
4/27/2020,Iowa,State,Signed,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration until May 27, 2020.","The proclamation loosens social distancing measures in 77 Iowa counties effective Friday, May 1 and continues other restrictions until 11:50 p.m. on Friday, May 15, 2020. In the 77 counties, the proclamation permits restaurants, fitness centers, malls, libraries, racetracks, and certain other retail establishments to reopen in a limited fashion with public health measures in place.",,,,,,,,,,,,,
4/27/2020,Iowa,State,Announcement,"The Governor, U.S. Senators Joni Ernst and Chuck Grassley, and Iowa Secretary of Agriculture Mike Naig wrote a letter to the Vice President asking for additional support from the administration for the state’s pork producers.",,,,,,,,,,,,,,
4/29/2020,Iowa,State,Announcement,"The Governor’s Iowa Workforce Development Agency, stated that during gradual reopen procedures if an employee refuses to return to work at a business that is opening again, that it would be considered as a “voluntary quit”",This would disqualify them from receiving unemployment benefits.,,,,,,,,,,,,,
5/4/2020,Iowa,State,Announcement,The state would clear its backlog of COVID-19 test results at the State Hygienic Laboratory by the end of Monday May 4th.,,,,,,,,,,,,,,
5/5/2020,Iowa,State,Announcement,The Governor will travel to Washington to meet with President Donald Trump and Vice President Mike Pence to discuss Iowa’s response to the coronavirus pandemic.,,,,,,,,,,,,,,
5/6/2020,Iowa,State,Signed,A new proclamation continuing the Public Health Disaster Emergency.,"The proclamation permits dental services to resume in compliance with guidelines adopted by the Iowa Dental Board, permits some additional businesses and establishments to reopen throughout Iowa in a limited fashion with appropriate public health measures in place, and provides additional regulatory relief to assist Iowans affected by this disaster.",,,,,,,,,,,,,
5/7/2020,Iowa,State,Announcement,The Centers for Medicare and Medicaid Services (CMS) approved Iowa’s second request for a Medicaid 1135 waiver.,"The waiver allows Iowa to provide flexibilities in Medicaid provider screening and enrollment, forgo evaluation and assessment requirements for home and community-based services, and allow for reimbursement facility services in alternative settings.",,,,,,,,,,,,,
5/11/2020,Iowa,State,Announcement,The Governor will be following modified quarantine plan after learning a member of Vice President Mike Pence’s staff tested positive for the virus.,Gov. Reynolds says her temperature is being taken before she enters the building prior to her press briefing and she is being tested everyday.,,,,,,,,,,,,,
5/11/2020,Iowa,State,Announcement,The Governor will update her office’s public health guidelines in an updated proclamation. ,According to information provided during her daily coronavirus briefing.,,,,,,,,,,,,,
5/13/2020,Iowa,State,Signed,A new proclamation continuing the Public Health Disaster Emergency.,"The proclamation permits salons, barbershops, and massage and tattoo establishments to reopen throughout Iowa in a limited fashion with appropriate public health measures in place. It also permits restaurants (but not bars), fitness centers, libraries, and racetracks to reopen in the 22 counties where they have remained closed. The proclamation continues the other ongoing closures and public health measures, including the prohibition on social, community, recreational, leisure, and sporting gatherings and events of more than 10 people, until 11:59 p.m. on May 27, 2020.",,,,,,,,,,,,,
5/14/2020,Iowa,State,Announcement,"Test Iowa’s equipment has been validated and believes the state “has the capacity” to do 5,000 tests per day. ","3,000 via the Test Iowa program and another 2,000 through the state hygienic lab.",,,,,,,,,,,,,
5/20/2020,Iowa,State,Signed,A new proclamation continuing the Public Health Disaster Emergency.,"The proclamation permits summer school activities, including baseball and softball, to resume on June 1. Effective May 22, Movie theaters, zoos, aquariums, museums, and wedding reception venues will be permitted to reopen with appropriate public health measures in place. Swimming pools will also be permitted to reopen for lap swimming and swimming lessons.",,,,,,,,,,,,,
5/20/2020,Iowa,State,Announcement,"On Thursday, May 28, bars and other alcohol-related establishments that have been limited to carryout and delivery will be permitted to reopen for indoor or outdoor seating.",These establishments will follow the same public health measures that restaurants have been implementing for the past several weeks.,,,,,,,,,,,,,
5/26/2020,Iowa,State,Signed,"The Governor signed a new proclamation continuing the Public Health Disaster Emergency until June 25, 2020.","The proclamation permits bars, wineries, breweries, distilleries, and social and fraternal clubs may reopen on May 28 with the same public health measures as restaurants in place. The proclamation also permits the reopening on June 1 of additional establishments, including outdoor performance venues, casinos, bowling alleys, amusement parks, skating rinks, skate parks, outdoor playgrounds.",,,,,,,,,,,,,
5/26/2020,Iowa,State,Announcement,"June 1, speedways, and racetracks can open events to spectators.","Outdoor venues like grandstands and amphitheaters may hold performances. Casinos may reopen, along with amusement parks, bowling alleys, pool halls, and arcades. All must maintain 50% capacity while keeping social distancing and hygiene protocols going.",,,,,,,,,,,,,
5/27/2020,Iowa,State,Announcement,Confirmed cases of COVID-19 are trending toward the western side of the state.,,,,,,,,,,,,,,
5/27/2020,Iowa,State,Announcement,150 National Guard soldiers are assisting with contact tracing.,,,,,,,,,,,,,,
6/1/2020,Iowa,State,Announcement,The Governor and the Iowa Department of Education announced the state has received $26.2 million in federal relief. ,To ensure education continues for students of all ages impacted by the COVID-19 pandemic.,,,,,,,,,,,,,
6/8/2020,Iowa,State,Announcement,The Governor will further expand access to COVID-19 testing with new sites opening this week. ,"Including one in Dallas County to better serve the Des Moines metro area, and four clinic sites in rural communities.",,,,,,,,,,,,,
6/15/2020,Iowa,State,Announcement,The Governor wrote a letter to Iowa Senators and the Secretary of the Department of Agriculture. ,The Governor is asking for more federal support for state turkey producers due to disruptions occurring in the supply chain.,,,,,,,,,,,,,
6/18/2020,Iowa,State,Signed,Executive Order. ,"Establishing the Governor’s Economic Recovery Advisory Board. The advisory board will focus on modernizing Iowa’s economy as well as education, health care, workforce and quality of life.",,,,,,,,,,,,,
3/12/2020,Kansas,State,Announcement,State of Emergency. ,,,,,,,,,,,,,,
3/15/2020,Kansas,State,Announcement,School closures.,K-12 school in Kansas close for the week of March 15.,,,,,,,,,,,,,
3/16/2020,Kansas,State,Ordered,Gathering limitaions,"Banned all gatherings larger than 50 people, bringing the entire state in line with restrictions already announced in Wichita and Kansas City.",,,,,,,,,,,,,
3/17/2020,Kansas,State,Ordered,Working from home,"Effective Monday, March 23, that state employees state home for two weeks on administrative leave to minimize additional risk of exposure to the virus.",,,,,,,,,,,,,
3/17/2020,Kansas,State,Ordered,School closures.,Closure of all K-12 schools in the state until the end of the school year.,,,,,,,,,,,,,
3/17/2020,Kansas,State,Ordered,Executive order: Gathering limitations,Limiting public gathering to no more than 50 people,,,,,,,,,,,,,
3/17/2020,Kansas,State,Ordered,Executive order: Suspend utility disconnections,Asked the Kansas Corporation Commission (KCC) to suspend utility disconnects until April 15.,,,,,,,,,,,,,
3/18/2020,Kansas,State,Announcement,Prohibit evictions and foreclosures,Executive Order #20-06 to temporarily prohibit evictions and foreclosures across the state.,,,,,,,,,,,,,
3/19/2020,Kansas,State,Signed,Senate Bill for unemployment eligibility,"Senate Bill 27 extends unemployment eligibility for workers who filed after January 1, 2020.",,,,,,,,,,,,,
3/19/2020,Kansas,State,Signed,Senate Bill for education waiver expansion.,Senate Bill 142 expands education waiver authorities during disaster emergencies.,,,,,,,,,,,,,
3/19/2020,Kansas,State,Signed,Senate Bill for judicial branch authority expansion.,Senate Bill 102 expands authorities of the judicial branch during disasters.,,,,,,,,,,,,,
3/20/1930,Kansas,State,Announcement,Disaster assistance loans from the U.S. Small Business Administration (SBA) to supplement small businesses.,"Under the state’s disaster declaration Kansas has applied for, and expects to receive, disaster assistance loans from the U.S. Small Business Administration (SBA) to supplement small businesses.",,,,,,,,,,,,,
3/20/2020,Kansas,State,Announcement,Establish the Hospitality Industry Relief Emergency (HIRE) Fund,"Allocation of 5 million of state funds to establish the Hospitality Industry Relief Emergency (HIRE) Fund to provide short-term, zero-interest loans for Kansas’ hospitality sector",,,,,,,,,,,,,
3/22/2020,Kansas,State,Signed,Executive Order ,Temporarily expanding telemedicine and addressing certain licensing requirements.,,,,,,,,,,,,,
3/22/2020,Kansas,State,Signed,Executive Order,For conditional and temporary relief from certain motor carrier rules and regulations.,,,,,,,,,,,,,
